psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,mar,4-Mar,meet,rel1,intdatea,intdateb,intdatec,intdated,intdatee,celldatea,celldateb,breaka,breakb,date1a,date3a,date3b,date9a,date9b,date9c,date9d,rel5,rel6,q13a,q13b,q13c,age,educ2,emplnw,hisp,race,inc,lgbt
200275,2,1,18,18129,2,S, ,2,2,5, , ,1,1,2,1,2,2,2,2,2, ,1, ,2,1,1,1,2,1,1,1,1,1,1,6,1,2, ,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1, , ,1,1,2,34,3,4,2,1,1,1
200282,2,1,36,36055,1,S, ,2,2,3, , ,1,2,1,1,2,2,8,2,2, ,2, ,2,1,1,3,1,1,2,2,2,1,2,1, , ,2,2,2, , , , , , , ,2,2,2,2,2,2,2,2,3,2,2,2,59,5,1,2,1,99,1
200286,2,1,40,40109,3,S, ,2,1,2, , ,2,2, , , , , , , , , , ,2,1,2,8,2,2,2,2,2,2, ,5,2, , , , , , , , , , , , ,2,2,1,1,1,2, , ,2,2,2,77,3,3,2,1,2,1
200287,2,1,22,22017,3,U, ,2,1,4, , ,1,1,1,1,2,2,2,1,1, ,2, ,2,1,1,2,2,1,1,2,2,1,2,6, , ,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,21,4,4,2,2,4,1
200290,2,1,21,21111,3,U, ,1,1,2,1,1, ,2,1,2,2,2,2,1,8, , , ,2,1,2,8,2,2,2,2,2,1, ,1, , ,2,2,2, , , , , , , ,2,2,2,2,1,2,2,1,3,2,2,2,63,8,1,2,1,6,1
200293,2,1,6,06085,4,U, ,1,2,3,1,1, ,2,2,2,2,2,2,1,1, , , ,2,1,2,7,2,2,2,2,2,2, ,2, , ,2,2,2, , , , , , , ,2,2,2,2,2,2,8,1,3,2,2,2,70,8,2,2,1,9,1
200294,2,1,48,48453,3,U, ,2,2,3, , ,1,2,1,2,2,2,2,1,2, , , ,2,1,2,7,2,2,2,2,2,1, ,9,9, , ,9,9, , , , , , , ,2,1,2,8,8,2,2, , ,2,2,2,26,8,4,2,9,99,9
200297,2,1,6,06077,4,U, ,1,1,1,1,2, ,1,2,1,2,2,2,2,2,2, , ,2,1,1,1,2,2,1,2,1,1,1,6, , ,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,19,3,2,1,1,6,1
200311,2,1,47,47037,3,U, ,2,1,3, , ,1,2,1,2,2,2,2,2,2, , , ,2,1,2,7,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,1,2,8,1,1,2,1,3,2,2,2,57,5,1,2,2,6,1
200314,2,1,51,51095,3,S, ,2,2,3, , ,1,1,1,1,2,2,8,1,2, ,2, ,2,1,1,3,1,1,1,1,1,1,3,1, , ,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,3,9,2,2,41,4,1,2,2,6,1
200322,2,1,55,55027,2,R, ,1,1,4,2,2, ,2, , , , , , , , , , ,2,1,2,7,2,2,2,2,2,1, ,3,1,1, , , , , , ,2,2,2,2, ,2,2,2,2,9,1, , ,2,2,2,59,5,1,2,1,7,1
